sim,soln,pH,pe,U,S(6),C(4),m_UO2+2,m_UO2SO4,m_UO2(SO4)2-2,m_UO2CO3,m_UO2(CO3)2-2,m_UO2(CO3)3-4,m_UO2OH+,m_UO2(OH)2,si_Uraninite,si_UO2CO3,si_UO2SO4,si_UO3:2H2O,scenario,m_UO2+2_frac_selected,m_UO2SO4_frac_selected,m_UO2(SO4)2-2_frac_selected,m_UO2CO3_frac_selected,m_UO2(CO3)2-2_frac_selected,m_UO2(CO3)3-4_frac_selected,m_UO2OH+_frac_selected,m_UO2(OH)2_frac_selected
1,1,3,8,1.0000e-06,1.0000e-02,1.0000e-04,2.3338e-07,7.0976e-07,5.5951e-08,1.2032e-12,8.4548e-20,5.0519e-29,9.0343e-10,6.0344e-12,-999.9990,-7.1381,-11.1628,-5.7410,pH3_sulfate_rich_low_carbonate,0.23338,0.709759,0.0559509,1.2032e-06,8.45479e-14,5.05189e-23,0.000903428,6.03439e-06
2,2,4,8,1.0000e-06,1.0000e-02,1.0000e-04,2.2527e-07,7.0694e-07,5.8411e-08,1.1474e-10,8.0912e-16,4.9308e-23,8.6708e-09,5.7804e-10,-999.9990,-5.1588,-11.1645,-3.7597,pH4_sulfate_rich_low_carbonate,0.225273,0.706951,0.0584119,0.000114742,8.09132e-10,4.93088e-17,0.00867093,0.000578049
3,3,6,8,1.0000e-06,1.0000e-03,1.0000e-03,7.6822e-09,5.5995e-09,4.9039e-11,3.9364e-07,1.2743e-07,1.5955e-10,3.9466e-08,2.9026e-07,-999.9990,-1.6234,-13.2657,-1.0587,pH6_mixed_sulfate_carbonate,0.00888849,0.00647876,5.67393e-05,0.455451,0.14744,0.000184603,0.0456631,0.335838
4,4,7,8,1.0000e-06,1.0000e-03,2.0000e-03,1.7982e-11,1.1987e-11,1.0436e-13,4.5588e-08,7.9379e-07,5.8179e-08,8.9565e-10,6.5185e-08,-999.9990,-2.5596,-15.9352,-1.7073,pH7_carbonate_rich,1.866e-05,1.24389e-05,1.08295e-07,0.0473068,0.823718,0.0603725,0.000929418,0.0676426
5,5,8,8,1.0000e-06,1.0000e-03,2.0000e-03,8.2307e-14,5.3779e-14,4.6760e-16,2.4388e-09,5.0566e-07,4.4973e-07,4.0714e-11,2.9562e-08,-999.9990,-3.8313,-18.2833,-2.0508,pH8_carbonate_rich,8.33546e-08,5.44635e-08,4.73552e-10,0.00246984,0.512096,0.455454,4.12322e-05,0.0299383
