scenario,x_m,pH,total_so4_m,total_uo2_m,total_hco3_m,total_ca_m,calcite_vf
calcite_buffered,55.5,8.117935,0.004999115,9.998196e-07,0.001099599,0.001099597,0.0009999975
calcite_buffered,56.5,8.11793,0.004998743,9.997437e-07,0.001099592,0.001099588,0.0009999975
calcite_buffered,57.5,8.117924,0.004998233,9.996397e-07,0.001099582,0.001099577,0.0009999975
calcite_buffered,58.5,8.117915,0.004997541,9.994987e-07,0.001099568,0.001099561,0.0009999975
calcite_buffered,59.5,8.117904,0.004996614,9.993096e-07,0.00109955,0.00109954,0.0009999976
calcite_buffered,60.5,8.117888,0.004995383,9.990588e-07,0.001099526,0.001099512,0.0009999976
calcite_buffered,61.5,8.117868,0.004993767,9.987292e-07,0.001099494,0.001099476,0.0009999976
calcite_buffered,62.5,8.117842,0.004991665,9.983008e-07,0.001099453,0.001099428,0.0009999976
calcite_buffered,63.5,8.117809,0.004988959,9.977491e-07,0.001099399,0.001099367,0.0009999976
calcite_buffered,64.5,8.117766,0.004985508,9.970455e-07,0.001099332,0.001099289,0.0009999976
calcite_buffered,65.5,8.117712,0.004981148,9.961565e-07,0.001099246,0.001099191,0.0009999976
calcite_buffered,66.5,8.117645,0.00497569,9.950437e-07,0.001099139,0.001099067,0.0009999977
calcite_buffered,67.5,8.117561,0.004968919,9.936632e-07,0.001099006,0.001098915,0.0009999977
calcite_buffered,68.5,8.117458,0.004960592,9.919657e-07,0.001098842,0.001098727,0.0009999977
calcite_buffered,69.5,8.117332,0.004950442,9.898962e-07,0.001098643,0.001098497,0.0009999977
calcite_buffered,70.5,8.11718,0.004938172,9.873946e-07,0.001098402,0.00109822,0.0009999977
calcite_buffered,71.5,8.116998,0.004923463,9.843958e-07,0.001098113,0.001097888,0.0009999977
calcite_buffered,72.5,8.11678,0.004905973,9.808301e-07,0.001097769,0.001097493,0.0009999977
calcite_buffered,73.5,8.116522,0.004885343,9.76624e-07,0.001097364,0.001097027,0.0009999977
calcite_buffered,74.5,8.11622,0.004861198,9.717014e-07,0.00109689,0.001096482,0.0009999977
calcite_buffered,75.5,8.115866,0.004833156,9.659842e-07,0.001096339,0.001095849,0.0009999976
calcite_buffered,76.5,8.115457,0.004800833,9.593943e-07,0.001095703,0.001095118,0.0009999976
calcite_buffered,77.5,8.114985,0.00476385,9.518545e-07,0.001094976,0.001094283,0.0009999976
calcite_buffered,78.5,8.114445,0.004721844,9.432903e-07,0.00109415,0.001093333,0.0009999976
calcite_buffered,79.5,8.113829,0.004674471,9.336319e-07,0.001093219,0.001092262,0.0009999976
calcite_buffered,80.5,8.113133,0.004621418,9.228156e-07,0.001092175,0.001091063,0.0009999975
calcite_buffered,81.5,8.112349,0.004562413,9.107859e-07,0.001091013,0.001089728,0.0009999975
calcite_buffered,82.5,8.111471,0.004497231,8.974968e-07,0.001089729,0.001088252,0.0009999975
calcite_buffered,83.5,8.110493,0.004425704,8.82914e-07,0.001088319,0.001086633,0.0009999975
calcite_buffered,84.5,8.109409,0.004347724,8.670156e-07,0.001086782,0.001084866,0.0009999974
calcite_buffered,85.5,8.108213,0.004263255,8.497942e-07,0.001085115,0.001082951,0.0009999974
calcite_buffered,86.5,8.106899,0.004172332,8.312572e-07,0.001083319,0.001080888,0.0009999974
calcite_buffered,87.5,8.105463,0.004075069,8.114275e-07,0.001081396,0.001078679,0.0009999973
calcite_buffered,88.5,8.1039,0.003971658,7.903443e-07,0.00107935,0.001076329,0.0009999973
calcite_buffered,89.5,8.102207,0.003862369,7.680627e-07,0.001077185,0.001073843,0.0009999973
calcite_buffered,90.5,8.100381,0.003747549,7.446534e-07,0.001074907,0.001071228,0.0009999973
calcite_buffered,91.5,8.098419,0.003627616,7.202019e-07,0.001072525,0.001068494,0.0009999973
calcite_buffered,92.5,8.096321,0.00350306,6.948076e-07,0.001070048,0.001065651,0.0009999973
calcite_buffered,93.5,8.094087,0.003374427,6.685823e-07,0.001067486,0.001062711,0.0009999973
calcite_buffered,94.5,8.091719,0.003242319,6.416485e-07,0.001064851,0.001059688,0.0009999973
calcite_buffered,95.5,8.089219,0.003107382,6.141377e-07,0.001062154,0.001056595,0.0009999973
calcite_buffered,96.5,8.086592,0.002970292,5.861882e-07,0.001059409,0.001053447,0.0009999973
calcite_buffered,97.5,8.083843,0.002831751,5.579427e-07,0.00105663,0.001050261,0.0009999973
calcite_buffered,98.5,8.08098,0.002692478,5.295483e-07,0.00105383,0.001047052,0.0009999973
calcite_buffered,99.5,8.078034,0.002554245,5.013657e-07,0.001051044,0.001043861,0.0009999974
no_calcite,0.5,3.000039,0.005,1e-06,9.999154e-07,9.999869e-07,0.0
