scenario,label,final_time_years,cells,pH_min,pH_max,pH_x0_5m,pH_x25_5m,pH_x50_5m,pH_x75_5m,pH_x99_5m,acid_front_pH_lt_4_m,low_pH_front_pH_lt_6_5_m,sulfate_front_gt_2_5e_3_M_m,uranium_front_gt_5e_7_M_m,sulfate_outlet_M,uranium_outlet_M,calcite_vf_min,calcite_vf_max,calcite_depletion_pct,flow_steps,flow_newton,flow_linear,flow_cuts,transport_steps,transport_newton,transport_linear,transport_cuts,wall_clock_seconds
calcite_buffered,Calcite buffered,25.0,100,3.242851,8.117946,3.242851,8.117946,8.117944,8.115866,8.078034,0.5,0.5,99.5,99.5,0.002554245,5.013657e-07,0.0,0.0009999979,100.0,111,116,116,0,119,492,492,0,1.7307
no_calcite,No calcite,25.0,100,3.000039,4.244452,3.000039,3.000039,3.000048,3.0233,4.244452,98.5,99.5,99.5,99.5,0.002561556,5.028573e-07,0.0,0.0,0.0,111,116,116,0,161,826,826,0,2.2572
