cell_id,lon_min,lon_max,lat_min,lat_max,center_lon,center_lat,active_bbox_intersections,lapsed_bbox_intersections,lapsed_ids,lapsed_owners,mdi_count,uranium_mdi_count,gold_mdi_count,ree_thorium_mdi_count,base_metal_mdi_count,mdi_names,drillhole_count,rock_sample_count,nearest_anchor,nearest_anchor_km,score,status_note
PLC-141,-109.4,-109.3,57.7,57.75,-109.35,57.725,4,0,,,0,0,0,0,0,,4,0,Arrow,8.3,-31.12,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-166,-109.9,-109.8,57.8,57.85,-109.85,57.825,4,0,,,0,0,0,0,0,,4,0,Smart Lake,3.2,-31.12,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-231,-109.4,-109.3,58,58.05,-109.35,58.025,6,0,,,0,0,0,0,0,,13,0,JR Zone,24,-32.89,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-097,-109.3,-109.2,57.55,57.6,-109.25,57.575,8,0,,,0,0,0,0,0,,3,0,Triple R,9.9,-32.91,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-155,-109.5,-109.4,57.75,57.8,-109.45,57.775,7,0,,,0,0,0,0,0,,3,0,JR Zone,7.5,-32.91,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-183,-109.7,-109.6,57.85,57.9,-109.65,57.875,13,0,,,0,0,0,0,0,,3,0,JR Zone,9,-32.91,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-227,-109.8,-109.7,58,58.05,-109.75,58.025,7,0,,,0,0,0,0,0,,12,0,Smart Lake,24.7,-33.48,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-198,-109.7,-109.6,57.9,57.95,-109.65,57.925,6,0,,,1,0,0,0,0,5263:Drill hole GL-08-03,5,0,JR Zone,12.9,-33.67,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-212,-109.8,-109.7,57.95,58,-109.75,57.975,5,0,,,0,0,0,0,0,,5,0,Smart Lake,19.6,-33.67,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-246,-109.4,-109.3,58.05,58.1,-109.35,58.075,7,0,,,0,0,0,0,0,,8,1,JR Zone,29.1,-34.42,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-102,-108.8,-108.7,57.55,57.6,-108.75,57.575,7,0,,,0,0,0,0,0,,10,0,Spitfire,28.4,-34.82,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-041,-108.9,-108.8,57.35,57.4,-108.85,57.375,2,1,MC00014557,CAT Strategic Metals Corporation: 100.000%,2,0,0,3,0,1992:Drill hole KL-77-3;5663:Rock sample JBPNR008,0,1,Spitfire,40.3,-35,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-182,-109.8,-109.7,57.85,57.9,-109.75,57.875,11,0,,,0,0,0,0,0,,4,0,Smart Lake,11,-35.12,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-096,-109.4,-109.3,57.55,57.6,-109.35,57.575,8,0,,,0,0,0,0,0,,2,0,Triple R,7.3,-35.21,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-042,-108.8,-108.7,57.35,57.4,-108.75,57.375,1,3,MC00014519;MC00014557;MC00014560,CAT Strategic Metals Corporation: 100.000%,0,0,0,0,0,,0,0,Spitfire,43.5,-36,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-043,-108.7,-108.6,57.35,57.4,-108.65,57.375,1,6,MC00013968;MC00013969;MC00013970;MC00014519;MC00014557;MC00014560,CAT Strategic Metals Corporation: 100.000%,0,0,0,0,0,,0,0,Spitfire,47.2,-36,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-044,-108.6,-108.5,57.35,57.4,-108.55,57.375,2,3,MC00013969;MC00014560;MC00014561,CAT Strategic Metals Corporation: 100.000%,0,0,0,0,0,,0,0,Spitfire,51.3,-36,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-057,-108.8,-108.7,57.4,57.45,-108.75,57.425,2,3,MC00014519;MC00014557;MC00013808,CAT Strategic Metals Corporation: 100.000%,0,0,0,0,0,,0,0,Spitfire,39.1,-36,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-248,-109.2,-109.1,58.05,58.1,-109.15,58.075,3,3,MC00018574;MC00018575;MC00018584,F4 Uranium Corp.: 100.000%;CANALASKA URANIUM LTD.: 100.000%,0,0,0,0,0,,0,0,JR Zone,35.1,-36,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-254,-108.6,-108.5,58.05,58.1,-108.55,58.075,2,3,MC00018645;MC00018646;MC00018650,CANALASKA URANIUM LTD.: 100.000%;Jameila Grace Hope: 100.000%,0,0,0,0,0,,0,0,Spitfire,56.1,-36,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-255,-108.5,-108.45,58.05,58.1,-108.475,58.075,1,3,MC00018645;MC00018646;MC00018650,CANALASKA URANIUM LTD.: 100.000%;Jameila Grace Hope: 100.000%,0,0,0,0,0,,0,0,Spitfire,59.1,-36,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-262,-109.3,-109.2,58.1,58.15,-109.25,58.125,4,5,MC00018574;MC00018576;MC00018577;MC00018579;MC00018584,F4 Uranium Corp.: 100.000%;CANALASKA URANIUM LTD.: 100.000%;STANDARD URANIUM (SASKATCHEWAN)  LTD.: 100.000%,0,0,0,0,0,,0,0,JR Zone,36.6,-36,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-263,-109.2,-109.1,58.1,58.15,-109.15,58.125,1,7,MC00018573;MC00018574;MC00018575;MC00018576;MC00018577;MC00018579;MC00018584,STANDARD URANIUM (SASKATCHEWAN)  LTD.: 100.000%;F4 Uranium Corp.: 100.000%;CANALASKA URANIUM LTD.: 100.000%,0,0,0,0,0,,0,0,JR Zone,39.5,-36,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-192,-108.8,-108.7,57.85,57.9,-108.75,57.875,14,0,,,1,0,0,2,0,3265:Sample 7811-4031,1,1,Spitfire,32.1,-36.45,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-114,-109.1,-109,57.6,57.65,-109.05,57.625,11,0,,,0,0,0,0,0,,3,0,Spitfire,10.5,-36.91,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-122,-109.8,-109.7,57.65,57.7,-109.75,57.675,6,0,,,0,0,0,0,0,,3,0,Smart Lake,18.3,-36.91,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-146,-108.9,-108.8,57.7,57.75,-108.85,57.725,7,0,,,0,0,0,0,0,,3,0,Spitfire,19.4,-36.91,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-175,-109,-108.9,57.8,57.85,-108.95,57.825,8,0,,,0,0,0,0,0,,3,0,Spitfire,19.6,-36.91,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-074,-108.6,-108.5,57.45,57.5,-108.55,57.475,6,0,,,0,0,0,0,0,,16,0,Spitfire,44.3,-37.33,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-052,-109.3,-109.2,57.4,57.45,-109.25,57.425,7,0,,,0,0,0,0,0,,7,0,Triple R,24.9,-37.36,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-132,-108.8,-108.7,57.65,57.7,-108.75,57.675,8,0,,,0,0,0,0,0,,7,0,Spitfire,25.1,-37.36,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-261,-109.4,-109.3,58.1,58.15,-109.35,58.125,6,0,,,0,0,0,0,0,,5,1,JR Zone,34.4,-37.67,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-247,-109.3,-109.2,58.05,58.1,-109.25,58.075,5,2,MC00018574;MC00018584,F4 Uranium Corp.: 100.000%;CANALASKA URANIUM LTD.: 100.000%,0,0,0,0,0,,0,0,JR Zone,31.7,-38,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-107,-109.8,-109.7,57.6,57.65,-109.75,57.625,6,0,,,0,0,0,0,0,,6,0,Triple R,23.2,-38.43,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-162,-108.8,-108.7,57.75,57.8,-108.75,57.775,11,0,,,0,0,0,0,0,,6,0,Spitfire,26.6,-38.43,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-110,-109.5,-109.4,57.6,57.65,-109.45,57.625,5,0,,,0,0,0,0,0,,1,0,Triple R,5.5,-38.45,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-158,-109.2,-109.1,57.75,57.8,-109.15,57.775,6,0,,,0,0,0,0,0,,1,0,Spitfire,9.1,-38.45,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-222,-108.8,-108.7,57.95,58,-108.75,57.975,6,0,,,1,0,2,0,0,3075:Drill hole BL-08-01,1,0,Spitfire,40,-38.45,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-270,-108.5,-108.45,58.1,58.15,-108.475,58.125,2,2,MC00018645;MC00018646,CANALASKA URANIUM LTD.: 100.000%,0,0,0,0,0,,1,0,Spitfire,63.2,-38.45,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-072,-108.8,-108.7,57.45,57.5,-108.75,57.475,3,0,,,1,0,0,3,0,5662:Rock sample JBPNR004,0,0,Spitfire,35,-39,"Intersects active disposition bbox; only boundary slivers may be open, if any."
PLC-085,-109,-108.9,57.5,57.55,-108.95,57.525,7,0,,,1,0,0,3,0,5665:Rock samples MKPNR012 & 013,0,0,Spitfire,22.9,-39,"Intersects active disposition bbox; only boundary slivers may be open, if any."
