"disposition","owners","good_standing","work_waiting","shape_area_m2"
"S-113905","NexGen Energy Ltd.: 100.000%","2047-05-13","No",14321538.4676308
"S-113906","NexGen Energy Ltd.: 100.000%","2047-05-13","No",10920571.306708699
"S-113907","NexGen Energy Ltd.: 100.000%","2047-05-13","No",14357953.8656455
"S-113908","NexGen Energy Ltd.: 100.000%","2047-05-13","No",4620478.6962397601
"S-113909","NexGen Energy Ltd.: 100.000%","2047-05-13","No",4923874.2426129002
"S-113910","NexGen Energy Ltd.: 100.000%","2047-05-13","No",10292654.7100251
"S-113911","NexGen Energy Ltd.: 100.000%","2047-05-13","No",7996402.4950320004
"S-113912","NexGen Energy Ltd.: 100.000%","2047-05-13","No",25385081.810888998
"S-113913","NexGen Energy Ltd.: 100.000%","2047-05-13","No",12796861.517215
"S-113914","NexGen Energy Ltd.: 100.000%","2047-05-13","No",5600298.7532786401
"S-113915","NexGen Energy Ltd.: 100.000%","2047-05-13","No",18064134.396987502
"S-113916","NexGen Energy Ltd.: 100.000%","2047-05-13","No",11872944.831598001
"S-113917","NexGen Energy Ltd.: 100.000%","2047-06-14","No",13853415.104801301
"S-113918","NexGen Energy Ltd.: 100.000%","2047-06-14","No",24809341.322317202
"S-113919","NexGen Energy Ltd.: 100.000%","2047-06-14","No",13284959.334476599
"S-113920","NexGen Energy Ltd.: 100.000%","2047-06-14","No",20979820.474165998
"S-113921","NexGen Energy Ltd.: 100.000%","2047-06-14","No",3915022.7993350001
"S-113922","NexGen Energy Ltd.: 100.000%","2047-06-14","No",4979089.1412992002
"S-113923","NexGen Energy Ltd.: 100.000%","2047-06-14","No",3777996.7912777001
"S-113924","NexGen Energy Ltd.: 100.000%","2047-06-14","No",4745998.8543947004
"S-113925","NexGen Energy Ltd.: 100.000%","2047-06-14","No",3599137.3437661598
"S-113926","NexGen Energy Ltd.: 100.000%","2047-06-14","No",4285692.0169000002
"S-113927","NexGen Energy Ltd.: 100.000%","2047-06-14","No",15140540.679311
"S-113928","NexGen Energy Ltd.: 100.000%","2047-06-14","No",9200530.5692239609
"S-113929","NexGen Energy Ltd.: 100.000%","2047-06-14","No",8107183.7037114603
"S-113930","NexGen Energy Ltd.: 100.000%","2047-06-14","No",3029808.6362263998
"S-113931","NexGen Energy Ltd.: 100.000%","2047-06-14","No",13949345.1648305
"S-113932","NexGen Energy Ltd.: 100.000%","2043-06-14","No",6272354.9921927797
"S-113933","NexGen Energy Ltd.: 100.000%","2045-06-14","No",14252426.9192208
"S-110932","NexGen Energy Ltd.: 100.000%","2046-06-14","No",25584948.608226001
"MC00022888","CAMECO CORPORATION: 100.000%","2028-11-16","No",36614388.556308001
"MC00023066","Skyharbour Resources Ltd.: 100.000%","2028-02-17","No",32292028.7450555
"MC00023067","CAMECO CORPORATION: 100.000%","2028-02-17","No",1797441.5053864999
"MC00023069","F4 Uranium Corp.: 100.000%","2028-02-17","No",3471246.223094
"MC00023070","F4 Uranium Corp.: 100.000%","2028-02-17","No",3306706.6520894999
"MC00023071","Skyharbour Resources Ltd.: 100.000%","2028-02-17","No",54201294.368860997
"MC00023072","F4 Uranium Corp.: 100.000%","2028-02-17","No",2358431.7099680002
"MC00023073","Skyharbour Resources Ltd.: 100.000%","2028-02-17","No",37854279.250416003
"MC00023074","CAMECO CORPORATION: 100.000%","2028-02-17","No",3970391.004613
"MC00023075","Skyharbour Resources Ltd.: 100.000%","2028-02-17","No",53756186.340647496
"MC00023076","Stallion Uranium Corp.: 100.000%","2028-02-17","No",56069883.131548002
"MC00023077","Skyharbour Resources Ltd.: 100.000%","2028-02-17","No",6288706.4305224996
"MC00023079","F4 Uranium Corp.: 100.000%","2028-02-17","No",988625.01897249999
"MC00023080","Evan L Bell: 100.000%","2028-02-17","No",4560614.5089584999
"MC00023081","Skyharbour Resources Ltd.: 100.000%","2028-02-17","No",34076962.663578004
"MC00023082","Skyharbour Resources Ltd.: 100.000%","2028-02-17","No",42479422.379597001
"MC00023083","Stallion Uranium Corp.: 100.000%","2028-02-17","No",7910321.419888
"MC00023084","Skyharbour Resources Ltd.: 100.000%","2028-02-17","No",21445591.260551501
"MC00023086","Skyharbour Resources Ltd.: 100.000%","2028-02-17","No",35844302.776798502
"MC00023089","Gary Clayton Dunn: 100.000%","2028-02-17","No",3131082.8178150002
"MC00023096","Gary Clayton Dunn: 100.000%","2028-02-18","No",1183325.4761534999
"MC00003924","F4 Uranium Corp.: 100.000%","2026-10-20","No",2518876.8593084998
"MC00003927","F4 Uranium Corp.: 100.000%","2026-10-20","No",4495585.2620005002
"MC00003929","F4 Uranium Corp.: 100.000%","2026-10-20","No",485861.86116750003
"MC00003933","F4 Uranium Corp.: 100.000%","2026-10-20","No",170169.10222999999
"MC00003935","F4 Uranium Corp.: 100.000%","2026-10-20","No",2946178.151507
"MC00003989","F4 Uranium Corp.: 100.000%","2026-10-26","No",14579713.230968
"MC00003990","F4 Uranium Corp.: 100.000%","2026-10-26","No",15696971.417863499
"MC00004009","F4 Uranium Corp.: 100.000%","2026-11-02","No",5322205.2571144998
"MC00016084","F4 Uranium Corp.: 100.000%","2026-11-08","No",13204298.413279001
"MC00016086","F4 Uranium Corp.: 100.000%","2026-11-08","No",22136731.043951001
"MC00016088","F4 Uranium Corp.: 100.000%","2026-11-08","No",23692573.5648975
"MC00016091","F4 Uranium Corp.: 100.000%","2026-11-08","No",17455259.549074501
"MC00016100","F4 Uranium Corp.: 100.000%","2026-11-08","No",23696929.547172502
"MC00016115","F4 Uranium Corp.: 100.000%","2026-11-08","No",19700560.457844999
"MC00016246","F4 Uranium Corp.: 100.000%","2026-12-21","No",41121142.435053498
"MC00008842","F4 Uranium Corp.: 100.000%","2027-01-08","No",4901424.374907
"MC00019752","F4 Uranium Corp.: 100.000%","2027-01-08","No",6626515.5221159998
"MC00019754","F4 Uranium Corp.: 100.000%","2027-01-08","No",9751887.0795029998
"MC00019756","F4 Uranium Corp.: 100.000%","2027-01-08","No",7943050.8917110004
"MC00019758","F4 Uranium Corp.: 100.000%","2027-01-08","No",10570097.1578635
"MC00023351","James Hutton: 100.000%","2028-04-27","No",52950756.243469499
"MC00023354","James Hutton: 100.000%","2028-04-27","No",26548560.866600499
"MC00023355","James Hutton: 100.000%","2028-04-27","No",56102253.621508501
"MC00023356","James Hutton: 100.000%","2028-04-27","No",29002558.927699499
"MC00023357","James Hutton: 100.000%","2028-04-27","No",24941314.029922001
"MC00023358","James Hutton: 100.000%","2028-04-27","No",46328530.115065999
"MC00023360","James Hutton: 100.000%","2028-04-27","No",50930371.317033
"MC00023361","James Hutton: 100.000%","2028-04-27","No",54000219.275768504
