window,cell_id,min_lon,min_lat,max_lon,max_lat,center_lon,center_lat,area_km2,score,tenure_clear,max_au_ppb,au_sample_count,gold_showings_in_cell,drilled_showings_in_cell,advanced_showings_in_cell,nearest_high_au_km,nearest_drilled_or_advanced_km,near_known_core_km
South Rae / Hearne margin south of MacKay,sr_-112.30_62.90,-112.3,62.9,-112.2,62.95,-112.25,62.925,28.2,31,True,5.0,42,0,0,0,89.85,6.68,134.99
East Slave Lac de Gras-MacKay-McCrea,es_-111.40_63.95,-111.4,63.95,-111.3,64.0,-111.35,63.975,27.19,31,True,,0,0,0,0,5.7,8.93,11.2
Central Slave Indin-Colomac-Courageous,cs_-115.60_64.55,-115.6,64.55,-115.5,64.6,-115.55,64.575,26.6,31,True,,0,3,1,0,83.91,1.55,29.53
Central Slave Indin-Colomac-Courageous,cs_-112.80_65.55,-112.8,65.55,-112.7,65.6,-112.75,65.575,25.62,31,True,,0,3,1,0,64.83,1.02,160.79
South Rae / Hearne margin south of MacKay,sr_-113.00_62.50,-113.0,62.5,-112.9,62.55,-112.95,62.525,28.59,30,True,,0,2,0,0,143.69,1.16,190.4
South Rae / Hearne margin south of MacKay,sr_-113.00_62.55,-113.0,62.55,-112.9,62.6,-112.95,62.575,28.54,30,True,,0,2,0,0,138.61,4.82,185.46
South Rae / Hearne margin south of MacKay,sr_-112.90_62.55,-112.9,62.55,-112.8,62.6,-112.85,62.575,28.54,30,True,,0,2,1,0,136.58,2.73,183.13
South Rae / Hearne margin south of MacKay,sr_-112.80_62.35,-112.8,62.35,-112.7,62.4,-112.75,62.375,28.73,30,True,,0,2,2,0,155.73,2.08,201.26
South Rae / Hearne margin south of MacKay,sr_-112.50_62.75,-112.5,62.75,-112.4,62.8,-112.45,62.775,28.35,30,True,,0,2,1,0,108.69,1.02,154.32
South Rae / Hearne margin south of MacKay,sr_-110.80_61.55,-110.8,61.55,-110.7,61.6,-110.75,61.575,29.49,30,True,,0,2,2,0,167.22,1.63,274.94
South Rae / Hearne margin south of MacKay,sr_-110.60_62.90,-110.6,62.9,-110.5,62.95,-110.55,62.925,28.2,30,True,,0,2,2,0,81.76,1.33,127.8
South Rae / Hearne margin south of MacKay,sr_-108.40_62.60,-108.4,62.6,-108.3,62.65,-108.35,62.625,28.49,30,True,,0,0,0,0,4.76,47.09,211.21
South Rae / Hearne margin south of MacKay,sr_-108.30_62.60,-108.3,62.6,-108.2,62.65,-108.25,62.625,28.49,30,True,,0,0,0,0,3.39,52.14,214.57
East Slave Lac de Gras-MacKay-McCrea,es_-111.00_64.00,-111.0,64.0,-110.9,64.05,-110.95,64.025,27.14,30,True,,0,1,0,0,8.21,10.26,11.05
East Slave Lac de Gras-MacKay-McCrea,es_-109.90_64.20,-109.9,64.2,-109.8,64.25,-109.85,64.225,26.94,30,True,3.0,5,0,0,0,4.68,46.51,67.46
Central Slave Indin-Colomac-Courageous,cs_-112.70_64.25,-112.7,64.25,-112.6,64.3,-112.65,64.275,26.89,30,True,6.0,2,1,1,0,62.94,0.97,62.33
East Slave Lac de Gras-MacKay-McCrea,es_-110.50_63.80,-110.5,63.8,-110.4,63.85,-110.45,63.825,27.33,29,True,2.5,3,0,0,0,4.48,40.25,42.71
East Slave Lac de Gras-MacKay-McCrea,es_-110.30_64.00,-110.3,64.0,-110.2,64.05,-110.25,64.025,27.14,29,True,2.5,2,0,0,0,4.33,41.18,45.04
East Slave Lac de Gras-MacKay-McCrea,es_-109.40_63.65,-109.4,63.65,-109.3,63.7,-109.35,63.675,27.48,29,True,2.5,4,0,0,0,6.47,19.18,98.16
East Slave Lac de Gras-MacKay-McCrea,es_-109.30_63.85,-109.3,63.85,-109.2,63.9,-109.25,63.875,27.28,29,True,2.5,4,0,0,0,9.48,14.05,95.72
East Slave Lac de Gras-MacKay-McCrea,es_-111.90_63.70,-111.9,63.7,-111.8,63.75,-111.85,63.725,27.43,28,True,,0,0,0,0,3.51,36.31,48.17
East Slave Lac de Gras-MacKay-McCrea,es_-111.80_63.65,-111.8,63.65,-111.7,63.7,-111.75,63.675,27.48,28,True,,0,0,0,0,4.07,29.35,49.42
East Slave Lac de Gras-MacKay-McCrea,es_-111.80_63.80,-111.8,63.8,-111.7,63.85,-111.75,63.825,27.33,28,True,,0,0,0,0,4.7,34.23,36.91
East Slave Lac de Gras-MacKay-McCrea,es_-111.80_63.85,-111.8,63.85,-111.7,63.9,-111.75,63.875,27.28,28,True,,0,0,0,0,4.66,30.49,33.33
East Slave Lac de Gras-MacKay-McCrea,es_-111.70_63.80,-111.7,63.8,-111.6,63.85,-111.65,63.825,27.33,28,True,,0,0,0,0,3.03,31.01,33.34
East Slave Lac de Gras-MacKay-McCrea,es_-111.70_63.95,-111.7,63.95,-111.6,64.0,-111.65,63.975,27.19,28,True,,0,0,0,0,4.43,20.54,22.81
East Slave Lac de Gras-MacKay-McCrea,es_-111.70_64.35,-111.7,64.35,-111.6,64.4,-111.65,64.375,26.8,28,True,2.5,19,0,0,0,19.51,13.33,19.37
East Slave Lac de Gras-MacKay-McCrea,es_-111.60_63.85,-111.6,63.85,-111.5,63.9,-111.55,63.875,27.28,28,True,,0,0,0,0,4.28,23.62,25.94
East Slave Lac de Gras-MacKay-McCrea,es_-111.60_64.45,-111.6,64.45,-111.5,64.5,-111.55,64.475,26.7,28,True,2.5,19,0,0,0,11.68,16.3,26.18
East Slave Lac de Gras-MacKay-McCrea,es_-111.10_63.65,-111.1,63.65,-111.0,63.7,-111.05,63.675,27.48,28,True,,0,0,0,0,2.75,37.45,41.04
East Slave Lac de Gras-MacKay-McCrea,es_-111.00_63.75,-111.0,63.75,-110.9,63.8,-110.95,63.775,27.38,28,True,25.0,6,0,0,0,10.53,27.9,31.44
East Slave Lac de Gras-MacKay-McCrea,es_-110.90_63.80,-110.9,63.8,-110.8,63.85,-110.85,63.825,27.33,28,True,,0,0,0,0,4.61,25.4,28.68
East Slave Lac de Gras-MacKay-McCrea,es_-110.80_63.80,-110.8,63.8,-110.7,63.85,-110.75,63.825,27.33,28,True,,0,0,0,0,4.57,28.59,31.65
East Slave Lac de Gras-MacKay-McCrea,es_-110.80_63.90,-110.8,63.9,-110.7,63.95,-110.75,63.925,27.23,28,True,2.5,1,0,0,0,3.84,22.05,24.33
East Slave Lac de Gras-MacKay-McCrea,es_-110.70_63.90,-110.7,63.9,-110.6,63.95,-110.65,63.925,27.23,28,True,,0,0,0,0,4.89,26.56,28.6
East Slave Lac de Gras-MacKay-McCrea,es_-110.50_63.90,-110.5,63.9,-110.4,63.95,-110.45,63.925,27.23,28,True,,0,0,0,0,4.74,35.87,37.58
East Slave Lac de Gras-MacKay-McCrea,es_-110.30_63.85,-110.3,63.85,-110.2,63.9,-110.25,63.875,27.28,28,True,25.0,6,0,0,0,10.55,35.22,48.71
East Slave Lac de Gras-MacKay-McCrea,es_-110.20_64.00,-110.2,64.0,-110.1,64.05,-110.15,64.025,27.14,28,True,,0,0,0,0,3.52,37.15,49.9
East Slave Lac de Gras-MacKay-McCrea,es_-110.10_63.90,-110.1,63.9,-110.0,63.95,-110.05,63.925,27.23,28,True,,0,0,0,0,4.09,27.31,56.31
East Slave Lac de Gras-MacKay-McCrea,es_-110.10_64.00,-110.1,64.0,-110.0,64.05,-110.05,64.025,27.14,28,True,,0,0,0,0,4.88,33.36,54.77
East Slave Lac de Gras-MacKay-McCrea,es_-110.00_64.20,-110.0,64.2,-109.9,64.25,-109.95,64.225,26.94,28,True,,0,0,0,0,4.99,48.41,62.86
East Slave Lac de Gras-MacKay-McCrea,es_-109.80_63.60,-109.8,63.6,-109.7,63.65,-109.75,63.625,27.53,28,True,,0,0,0,0,3.8,24.58,83.71
East Slave Lac de Gras-MacKay-McCrea,es_-109.80_64.05,-109.8,64.05,-109.7,64.1,-109.75,64.075,27.09,28,True,,0,0,0,0,4.75,29.21,69.4
East Slave Lac de Gras-MacKay-McCrea,es_-109.50_63.90,-109.5,63.9,-109.4,63.95,-109.45,63.925,27.23,28,True,2.5,2,0,0,0,8.93,10.84,85.07
East Slave Lac de Gras-MacKay-McCrea,es_-109.20_63.65,-109.2,63.65,-109.1,63.7,-109.15,63.675,27.48,28,True,,0,0,0,0,3.66,25.25,107.16
East Slave Lac de Gras-MacKay-McCrea,es_-109.20_63.70,-109.2,63.7,-109.1,63.75,-109.15,63.725,27.43,28,True,,0,0,0,0,2.99,21.76,105.1
East Slave Lac de Gras-MacKay-McCrea,es_-109.10_63.80,-109.1,63.8,-109.0,63.85,-109.05,63.825,27.33,28,True,2.5,1,0,0,0,4.19,23.07,106.52
Central Slave Indin-Colomac-Courageous,cs_-114.10_64.90,-114.1,64.9,-114.0,64.95,-114.05,64.925,26.26,28,True,,0,0,0,0,3.5,63.73,76.53
Central Slave Indin-Colomac-Courageous,cs_-114.10_64.95,-114.1,64.95,-114.0,65.0,-114.05,64.975,26.21,28,True,,0,0,0,0,3.47,61.88,80.83
South Rae / Hearne margin south of MacKay,sr_-113.00_62.40,-113.0,62.4,-112.9,62.45,-112.95,62.425,28.68,27,True,,0,1,0,0,153.96,2.7,200.37
South Rae / Hearne margin south of MacKay,sr_-113.00_63.20,-113.0,63.2,-112.9,63.25,-112.95,63.225,27.91,27,True,,0,1,0,0,78.58,4.24,126.09
South Rae / Hearne margin south of MacKay,sr_-113.00_63.25,-113.0,63.25,-112.9,63.3,-112.95,63.275,27.86,27,True,,0,1,1,0,74.86,1.32,122.1
South Rae / Hearne margin south of MacKay,sr_-112.90_61.70,-112.9,61.7,-112.8,61.75,-112.85,61.725,29.35,27,True,,0,1,1,0,226.83,1.47,271.04
South Rae / Hearne margin south of MacKay,sr_-112.90_62.45,-112.9,62.45,-112.8,62.5,-112.85,62.475,28.63,27,True,,0,1,0,0,146.91,3.56,193.15
South Rae / Hearne margin south of MacKay,sr_-112.90_62.60,-112.9,62.6,-112.8,62.65,-112.85,62.625,28.49,27,True,,0,1,0,0,131.45,3.19,178.17
South Rae / Hearne margin south of MacKay,sr_-112.90_63.05,-112.9,63.05,-112.8,63.1,-112.85,63.075,28.06,27,True,,0,1,1,0,87.78,1.48,135.63
South Rae / Hearne margin south of MacKay,sr_-112.80_61.60,-112.8,61.6,-112.7,61.65,-112.75,61.625,29.45,27,True,,0,1,1,0,236.56,1.39,280.18
South Rae / Hearne margin south of MacKay,sr_-112.70_61.60,-112.7,61.6,-112.6,61.65,-112.65,61.625,29.45,27,True,,0,1,1,0,235.55,2.2,278.77
South Rae / Hearne margin south of MacKay,sr_-112.70_61.75,-112.7,61.75,-112.6,61.8,-112.65,61.775,29.3,27,True,,0,1,1,0,219.17,1.47,262.69
South Rae / Hearne margin south of MacKay,sr_-112.70_62.30,-112.7,62.3,-112.6,62.35,-112.65,62.325,28.78,27,True,,0,1,1,0,159.59,1.98,204.55
South Rae / Hearne margin south of MacKay,sr_-112.70_62.45,-112.7,62.45,-112.6,62.5,-112.65,62.475,28.63,27,True,,0,1,0,0,143.58,1.2,189.02
South Rae / Hearne margin south of MacKay,sr_-112.70_62.70,-112.7,62.7,-112.6,62.75,-112.65,62.725,28.39,27,True,,0,1,0,1,117.29,1.34,163.65
South Rae / Hearne margin south of MacKay,sr_-112.60_61.75,-112.6,61.75,-112.5,61.8,-112.55,61.775,29.3,27,True,,0,1,1,0,218.21,1.06,261.3
South Rae / Hearne margin south of MacKay,sr_-112.50_61.50,-112.5,61.5,-112.4,61.55,-112.45,61.525,29.54,27,True,,0,1,1,0,244.39,3.1,287.07
South Rae / Hearne margin south of MacKay,sr_-112.50_63.15,-112.5,63.15,-112.4,63.2,-112.45,63.175,27.96,27,True,,0,1,1,0,67.55,2.01,115.0
South Rae / Hearne margin south of MacKay,sr_-112.40_62.00,-112.4,62.0,-112.3,62.05,-112.35,62.025,29.06,27,True,,0,1,1,0,189.1,2.47,231.76
South Rae / Hearne margin south of MacKay,sr_-112.40_63.20,-112.4,63.2,-112.3,63.25,-112.35,63.225,27.91,27,True,,0,1,1,0,60.29,3.26,107.62
South Rae / Hearne margin south of MacKay,sr_-112.20_62.75,-112.2,62.75,-112.1,62.8,-112.15,62.775,28.35,27,True,,0,1,1,0,105.11,2.87,148.8
South Rae / Hearne margin south of MacKay,sr_-112.20_62.80,-112.2,62.8,-112.1,62.85,-112.15,62.825,28.3,27,True,,0,1,1,0,99.64,2.55,143.55
South Rae / Hearne margin south of MacKay,sr_-112.10_61.75,-112.1,61.75,-112.0,61.8,-112.05,61.775,29.3,27,True,,0,1,1,0,212.75,2.68,255.72
South Rae / Hearne margin south of MacKay,sr_-111.90_61.50,-111.9,61.5,-111.8,61.55,-111.85,61.525,29.54,27,True,,0,1,1,0,217.18,3.43,281.75
South Rae / Hearne margin south of MacKay,sr_-111.80_62.00,-111.8,62.0,-111.7,62.05,-111.75,62.025,29.06,27,True,,0,1,1,0,186.99,2.24,225.93
South Rae / Hearne margin south of MacKay,sr_-111.70_63.25,-111.7,63.25,-111.6,63.3,-111.65,63.275,27.86,27,True,,0,1,1,0,48.5,0.77,88.24
South Rae / Hearne margin south of MacKay,sr_-111.60_63.40,-111.6,63.4,-111.5,63.45,-111.55,63.425,27.72,27,True,,0,1,1,0,33.52,0.5,70.84
South Rae / Hearne margin south of MacKay,sr_-110.90_61.65,-110.9,61.65,-110.8,61.7,-110.85,61.675,29.4,27,True,,0,1,0,0,164.28,4.24,263.49
South Rae / Hearne margin south of MacKay,sr_-110.90_61.70,-110.9,61.7,-110.8,61.75,-110.85,61.725,29.35,27,True,,0,1,1,0,160.98,2.82,257.94
South Rae / Hearne margin south of MacKay,sr_-110.20_61.35,-110.2,61.35,-110.1,61.4,-110.15,61.375,29.68,27,True,,0,1,0,0,162.19,4.22,300.89
South Rae / Hearne margin south of MacKay,sr_-109.40_62.65,-109.4,62.65,-109.3,62.7,-109.35,62.675,28.44,27,True,,0,1,1,0,55.0,2.37,176.94
South Rae / Hearne margin south of MacKay,sr_-109.30_62.65,-109.3,62.65,-109.2,62.7,-109.25,62.675,28.44,27,True,,0,1,1,0,49.99,2.13,179.55
South Rae / Hearne margin south of MacKay,sr_-108.50_63.20,-108.5,63.2,-108.4,63.25,-108.45,63.225,27.91,27,True,,0,1,1,0,63.91,1.22,162.2
East Slave Lac de Gras-MacKay-McCrea,es_-111.70_64.00,-111.7,64.0,-111.6,64.05,-111.65,64.025,27.14,27,True,,0,0,0,0,7.71,19.12,20.66
East Slave Lac de Gras-MacKay-McCrea,es_-111.60_64.00,-111.6,64.0,-111.5,64.05,-111.55,64.025,27.14,27,True,,0,0,0,0,6.38,14.29,16.03
East Slave Lac de Gras-MacKay-McCrea,es_-111.60_64.05,-111.6,64.05,-111.5,64.1,-111.55,64.075,27.09,27,True,,0,0,0,0,9.88,14.27,15.02
East Slave Lac de Gras-MacKay-McCrea,es_-111.50_64.50,-111.5,64.5,-111.4,64.55,-111.45,64.525,26.65,27,True,,0,0,0,0,9.02,19.96,30.4
East Slave Lac de Gras-MacKay-McCrea,es_-111.40_63.85,-111.4,63.85,-111.3,63.9,-111.35,63.875,27.28,27,True,,0,0,0,0,9.33,17.49,20.25
East Slave Lac de Gras-MacKay-McCrea,es_-111.40_63.90,-111.4,63.9,-111.3,63.95,-111.35,63.925,27.23,27,True,,0,0,0,0,8.53,13.11,15.39
East Slave Lac de Gras-MacKay-McCrea,es_-111.30_63.85,-111.3,63.85,-111.2,63.9,-111.25,63.875,27.28,27,True,,0,0,0,0,9.69,15.46,18.71
