window,cell_id,min_lon,min_lat,max_lon,max_lat,center_lon,center_lat,area_km2,score,tenure_clear,max_au_ppb,au_sample_count,gold_showings_in_cell,drilled_showings_in_cell,advanced_showings_in_cell,nearest_high_au_km,nearest_drilled_or_advanced_km,near_known_core_km
East Slave Lac de Gras-MacKay-McCrea,es_-111.60_63.90,-111.6,63.9,-111.5,63.95,-111.55,63.925,27.23,69,True,9420.0,3,0,0,0,2.04,19.44,22.34
South Rae / Hearne margin south of MacKay,sr_-108.30_62.55,-108.3,62.55,-108.2,62.6,-108.25,62.575,28.54,68,True,322.0,1256,0,0,0,1.01,53.28,218.76
East Slave Lac de Gras-MacKay-McCrea,es_-111.40_64.00,-111.4,64.0,-111.3,64.05,-111.35,64.025,27.14,67,True,210.0,2,0,0,0,1.64,4.91,7.68
East Slave Lac de Gras-MacKay-McCrea,es_-111.10_63.90,-111.1,63.9,-111.0,63.95,-111.05,63.925,27.23,66,True,585.0,7,0,0,0,1.86,10.71,14.15
East Slave Lac de Gras-MacKay-McCrea,es_-111.00_63.95,-111.0,63.95,-110.9,64.0,-110.95,63.975,27.19,65,True,600.0,5,0,0,0,3.11,10.89,13.11
East Slave Lac de Gras-MacKay-McCrea,es_-109.90_64.15,-109.9,64.15,-109.8,64.2,-109.85,64.175,26.99,65,True,1010.0,5,0,0,0,2.52,41.34,66.04
East Slave Lac de Gras-MacKay-McCrea,es_-111.60_63.95,-111.6,63.95,-111.5,64.0,-111.55,63.975,27.19,63,True,790.0,1,0,0,0,0.95,16.13,18.71
East Slave Lac de Gras-MacKay-McCrea,es_-110.90_63.90,-110.9,63.9,-110.8,63.95,-110.85,63.925,27.23,63,True,430.0,1,0,0,0,1.41,17.74,20.34
East Slave Lac de Gras-MacKay-McCrea,es_-110.60_63.80,-110.6,63.8,-110.5,63.85,-110.55,63.825,27.33,63,True,785.0,11,0,0,0,1.63,36.12,38.76
South Rae / Hearne margin south of MacKay,sr_-108.40_62.55,-108.4,62.55,-108.3,62.6,-108.35,62.575,28.54,62,True,212.0,144,0,0,0,2.88,48.35,215.46
South Rae / Hearne margin south of MacKay,sr_-108.30_62.50,-108.3,62.5,-108.2,62.55,-108.25,62.525,28.59,62,True,118.0,448,0,0,0,3.12,54.96,223.01
East Slave Lac de Gras-MacKay-McCrea,es_-110.90_63.85,-110.9,63.85,-110.8,63.9,-110.85,63.875,27.28,61,True,325.0,6,0,0,0,0.41,21.19,24.24
East Slave Lac de Gras-MacKay-McCrea,es_-110.60_63.90,-110.6,63.9,-110.5,63.95,-110.55,63.925,27.23,60,True,320.0,5,0,0,0,0.67,31.18,33.03
East Slave Lac de Gras-MacKay-McCrea,es_-110.30_63.95,-110.3,63.95,-110.2,64.0,-110.25,63.975,27.19,60,True,420.0,4,0,0,0,1.25,38.5,45.62
East Slave Lac de Gras-MacKay-McCrea,es_-109.20_63.80,-109.2,63.8,-109.1,63.85,-109.15,63.825,27.33,60,True,195.0,6,0,0,0,2.19,18.17,101.76
East Slave Lac de Gras-MacKay-McCrea,es_-110.50_63.85,-110.5,63.85,-110.4,63.9,-110.45,63.875,27.28,59,True,801.0,2,0,0,0,1.54,37.72,39.84
East Slave Lac de Gras-MacKay-McCrea,es_-110.20_63.95,-110.2,63.95,-110.1,64.0,-110.15,63.975,27.19,59,True,650.0,2,0,0,0,1.31,34.15,50.44
East Slave Lac de Gras-MacKay-McCrea,es_-109.30_63.70,-109.3,63.7,-109.2,63.75,-109.25,63.725,27.43,59,True,190.0,5,0,0,0,2.05,17.86,100.5
East Slave Lac de Gras-MacKay-McCrea,es_-111.80_63.70,-111.8,63.7,-111.7,63.75,-111.75,63.725,27.43,58,True,450.0,1,0,0,0,2.92,34.66,44.95
East Slave Lac de Gras-MacKay-McCrea,es_-109.30_63.65,-109.3,63.65,-109.2,63.7,-109.25,63.675,27.48,58,True,310.0,1,0,0,0,1.83,21.98,102.64
East Slave Lac de Gras-MacKay-McCrea,es_-109.80_64.10,-109.8,64.1,-109.7,64.15,-109.75,64.125,27.04,57,True,285.0,11,0,0,0,2.5,34.41,69.87
South Rae / Hearne margin south of MacKay,sr_-108.40_62.50,-108.4,62.5,-108.3,62.55,-108.35,62.525,28.59,56,True,70.0,246,0,0,0,3.52,50.18,219.77
East Slave Lac de Gras-MacKay-McCrea,es_-110.80_63.85,-110.8,63.85,-110.7,63.9,-110.75,63.875,27.28,56,True,145.0,8,0,0,0,1.83,24.92,27.67
East Slave Lac de Gras-MacKay-McCrea,es_-110.10_63.95,-110.1,63.95,-110.0,64.0,-110.05,63.975,27.19,56,True,125.0,8,0,0,0,1.84,29.97,55.27
East Slave Lac de Gras-MacKay-McCrea,es_-111.00_63.65,-111.0,63.65,-110.9,63.7,-110.95,63.675,27.48,54,True,295.0,4,0,0,0,2.47,38.46,42.05
East Slave Lac de Gras-MacKay-McCrea,es_-110.00_63.90,-110.0,63.9,-109.9,63.95,-109.95,63.925,27.23,54,True,140.0,4,0,0,0,2.4,22.92,61.07
Central Slave Indin-Colomac-Courageous,cs_-114.00_64.90,-114.0,64.9,-113.9,64.95,-113.95,64.925,26.26,54,True,225.0,4,0,0,0,1.38,62.36,79.68
Central Slave Indin-Colomac-Courageous,cs_-114.00_64.95,-114.0,64.95,-113.9,65.0,-113.95,64.975,26.21,54,True,130.0,5,0,0,0,2.62,58.39,83.82
East Slave Lac de Gras-MacKay-McCrea,es_-111.70_63.85,-111.7,63.85,-111.6,63.9,-111.65,63.875,27.28,52,True,125.0,1,0,0,0,2.98,26.83,29.59
East Slave Lac de Gras-MacKay-McCrea,es_-111.00_63.90,-111.0,63.9,-110.9,63.95,-110.95,63.925,27.23,52,True,40.0,3,0,0,0,3.69,13.81,16.83
East Slave Lac de Gras-MacKay-McCrea,es_-110.80_63.65,-110.8,63.65,-110.7,63.7,-110.75,63.675,27.48,52,True,160.0,1,0,0,0,2.82,42.16,45.6
East Slave Lac de Gras-MacKay-McCrea,es_-109.70_63.60,-109.7,63.6,-109.6,63.65,-109.65,63.625,27.53,52,True,160.0,1,0,0,0,1.66,22.95,87.84
East Slave Lac de Gras-MacKay-McCrea,es_-110.70_63.80,-110.7,63.8,-110.6,63.85,-110.65,63.825,27.33,49,True,40.0,7,0,0,0,3.74,32.2,35.04
East Slave Lac de Gras-MacKay-McCrea,es_-110.20_63.90,-110.2,63.9,-110.1,63.95,-110.15,63.925,27.23,49,True,70.0,6,0,0,0,4.4,31.85,51.58
East Slave Lac de Gras-MacKay-McCrea,es_-109.20_63.85,-109.2,63.85,-109.1,63.9,-109.15,63.875,27.28,49,True,50.0,8,0,0,0,7.51,18.74,100.51
East Slave Lac de Gras-MacKay-McCrea,es_-110.20_63.85,-110.2,63.85,-110.1,63.9,-110.15,63.875,27.28,48,True,105.0,5,0,0,0,9.18,30.39,53.27
East Slave Lac de Gras-MacKay-McCrea,es_-110.60_63.85,-110.6,63.85,-110.5,63.9,-110.55,63.875,27.28,47,True,90.0,2,0,0,0,4.09,33.28,35.58
East Slave Lac de Gras-MacKay-McCrea,es_-109.90_63.90,-109.9,63.9,-109.8,63.95,-109.85,63.925,27.23,47,True,50.0,4,0,0,0,6.53,18.78,65.85
East Slave Lac de Gras-MacKay-McCrea,es_-109.80_64.20,-109.8,64.2,-109.7,64.25,-109.75,64.225,26.94,47,True,40.0,3,0,0,0,4.38,45.06,72.1
East Slave Lac de Gras-MacKay-McCrea,es_-109.40_63.70,-109.4,63.7,-109.3,63.75,-109.35,63.725,27.43,47,True,55.0,5,0,0,0,6.92,14.57,95.92
East Slave Lac de Gras-MacKay-McCrea,es_-111.90_63.65,-111.9,63.65,-111.8,63.7,-111.85,63.675,27.48,46,True,55.0,1,0,0,0,4.52,31.29,52.37
Central Slave Indin-Colomac-Courageous,cs_-112.40_64.95,-112.4,64.95,-112.3,65.0,-112.35,64.975,26.21,46,True,30.0,313,0,0,0,3.3,46.95,92.99
East Slave Lac de Gras-MacKay-McCrea,es_-110.40_63.85,-110.4,63.85,-110.3,63.9,-110.35,63.875,27.28,43,True,70.0,7,0,0,0,6.0,40.07,44.23
South Rae / Hearne margin south of MacKay,sr_-112.00_63.30,-112.0,63.3,-111.9,63.35,-111.95,63.325,27.82,41,True,82.0,71,0,0,0,43.14,15.73,88.22
East Slave Lac de Gras-MacKay-McCrea,es_-110.40_64.00,-110.4,64.0,-110.3,64.05,-110.35,64.025,27.14,41,True,90.0,2,0,0,0,6.37,39.46,40.17
East Slave Lac de Gras-MacKay-McCrea,es_-112.00_63.30,-112.0,63.3,-111.9,63.35,-111.95,63.325,27.82,39,True,82.0,71,0,0,0,43.14,15.73,88.22
East Slave Lac de Gras-MacKay-McCrea,es_-111.50_64.45,-111.5,64.45,-111.4,64.5,-111.45,64.475,26.7,39,True,10.0,24,0,0,0,6.9,14.51,24.91
East Slave Lac de Gras-MacKay-McCrea,es_-111.40_64.40,-111.4,64.4,-111.3,64.45,-111.35,64.425,26.75,39,True,2.5,18,0,0,0,5.3,8.67,18.98
